building_type,building_count,year_min,year_max,year_mean,year_median
民居,195,605,1910,1591.497436,1644
官府,105,-540,1909,1369.619048,1437
桥梁,92,309,1896,1396.75,1489.5
宫殿,18,1179,1863,1544.5,1608.0
