dimension,term,building_count,building_ratio,occurrence_count
营造技艺,传统石作,4,0.009756,4
营造技艺,依山就势,4,0.009756,4
营造技艺,天井排水系统,4,0.009756,4
营造技艺,石刻,4,0.009756,4
营造技艺,石拱砌筑,4,0.009756,4
营造技艺,石砌工艺,4,0.009756,4
营造技艺,石砌拱券,4,0.009756,4
营造技艺,透雕,4,0.009756,4
建筑功能,交通通道,3,0.007317,3
建筑功能,仓储,3,0.007317,3
建筑功能,会馆,3,0.007317,3
建筑功能,公共建筑,3,0.007317,3
建筑功能,内宅,3,0.007317,3
建筑功能,办公场所,3,0.007317,3
建筑功能,办公用房,3,0.007317,3
建筑功能,园林,3,0.007317,3
建筑功能,大厅,3,0.007317,3
建筑功能,学校,3,0.007317,3
建筑功能,宗族聚居,3,0.007317,3
建筑功能,库房,3,0.007317,3
建筑功能,当铺,3,0.007317,3
建筑功能,民居建筑,3,0.007317,3
建筑功能,皇家园林,3,0.007317,3
建筑功能,监狱,3,0.007317,3
建筑功能,神龛,3,0.007317,3
建筑功能,科举考场,3,0.007317,3
建筑功能,纪念性建筑,3,0.007317,3
建筑功能,绣楼,3,0.007317,3
建筑功能,行宫,3,0.007317,3
建筑功能,行政中心,3,0.007317,3
建筑功能,防御,3,0.007317,3
建筑功能,防御体系,3,0.007317,3
建筑材料,原木,3,0.007317,3
建筑材料,小青瓦,3,0.007317,3
建筑材料,巨石,3,0.007317,3
建筑材料,布瓦,3,0.007317,3
建筑材料,料石,3,0.007317,3
建筑材料,木,3,0.007317,3
建筑材料,木构,3,0.007317,3
建筑材料,灰筒瓦,3,0.007317,3
建筑材料,白石,3,0.007317,3
建筑材料,石块,3,0.007317,3
建筑材料,石料,3,0.007317,3
建筑材料,石条,3,0.007317,3
建筑材料,石栏板,3,0.007317,3
建筑材料,石碑,3,0.007317,3
建筑材料,红砖,3,0.007317,3
建筑材料,花岗石,3,0.007317,3
建筑材料,青砖灰瓦,3,0.007317,3
建筑材料,黄石,3,0.007317,3
建筑空间布局,三区布局,3,0.007317,3
建筑空间布局,三路院落,3,0.007317,3
建筑空间布局,依山而建,3,0.007317,3
建筑空间布局,单跨布局,3,0.007317,3
建筑空间布局,单跨拱桥,3,0.007317,3
建筑空间布局,厢房对称,3,0.007317,3
建筑空间布局,合院式布局,3,0.007317,3
建筑空间布局,后花园,3,0.007317,3
建筑空间布局,四合院式,3,0.007317,3
建筑空间布局,四门制,3,0.007317,3
建筑空间布局,坐北向南,3,0.007317,3
建筑空间布局,坐西朝东,3,0.007317,3
建筑空间布局,方形平面,3,0.007317,3
建筑空间布局,火巷分隔,3,0.007317,3
建筑空间布局,西宅东园,3,0.007317,3
建筑空间布局,跨河布局,3,0.007317,3
建筑空间布局,院落式,3,0.007317,3
建筑空间布局,面阔七间,3,0.007317,3
建筑空间布局,面阔五间,3,0.007317,3
建筑结构体系,三合院,3,0.007317,3
建筑结构体系,三孔石拱桥,3,0.007317,3
建筑结构体系,五进院落,3,0.007317,3
建筑结构体系,单檐歇山顶,3,0.007317,3
建筑结构体系,单檐硬山顶,3,0.007317,3
建筑结构体系,卷棚顶,3,0.007317,3
建筑结构体系,合院式,3,0.007317,3
建筑结构体系,回廊结构,3,0.007317,3
建筑结构体系,多孔石桥,3,0.007317,3
建筑结构体系,夯土城墙,3,0.007317,3
建筑结构体系,干栏式,3,0.007317,3
建筑结构体系,护城河,3,0.007317,3
建筑结构体系,敌台,3,0.007317,3
建筑结构体系,木拱廊桥,3,0.007317,3
建筑结构体系,梁桥,3,0.007317,3
建筑结构体系,石砌城墙,3,0.007317,3
建筑结构体系,砖石结构,3,0.007317,3
建筑结构体系,碉楼,3,0.007317,3
建筑结构体系,风雨桥,3,0.007317,3
营造技艺,东阳木雕,3,0.007317,3
营造技艺,传统木构架,3,0.007317,3
营造技艺,传统木构营造,3,0.007317,3
营造技艺,假山叠石,3,0.007317,3
营造技艺,台基砌筑,3,0.007317,3
营造技艺,夯土墙,3,0.007317,3
营造技艺,干砌法,3,0.007317,3
营造技艺,石作工艺,3,0.007317,3
营造技艺,石雕工艺,3,0.007317,3
营造技艺,砖雕装饰,3,0.007317,3
营造技艺,雕梁画栋,3,0.007317,3
营造技艺,马头墙砌筑,3,0.007317,3
建筑功能,交通,2,0.004878,2
建筑功能,交通功能,2,0.004878,2
建筑功能,交通枢纽,2,0.004878,2
建筑功能,交通穿行,2,0.004878,2
建筑功能,交通设施,2,0.004878,2
建筑功能,人行桥,2,0.004878,2
建筑功能,仓储功能,2,0.004878,2
建筑功能,休憩空间,2,0.004878,2
