start_dynasty,building_count,year_min,year_max,year_mean,year_median
清,160,1368,1910,1767.4125,1771.0
明,147,1368,1846,1484.693878,1477
宋,41,960,1421,1145.243902,1131
元,19,1264,1644,1333.157895,1314
唐,16,618,1673,1068.25,823.0
隋,6,581,616,594.0,589.5
金,5,1115,1644,1250.0,1179
五代十国,4,937,1644,1223.25,1156.0
东晋,3,317,352,338.333333,346
东汉,3,207,1379,600.333333,215
东周,2,-540,-514,-527.0,-527.0
南北朝,2,514,1381,947.5,947.5
西晋,1,309,309,309.0,309
辽,1,1368,1368,1368.0,1368
